n01: 70000000000000000000000
n02: 699999999999999900000000
n03: 30000000000000005000000000
n04: 90000000000000000000000000000
n05: 0.00000000000000000000005
n06: 0.00000000000000000000000069999999999999995
n07: 0.000000000000000000000010000000000000001
n08: 330000000000000000000000
n09: 699999999999999900000000
n10: 12345678901234500000000
n11: 123456789012345000000000
n12: 12345678901234560000000
n13: 12345678901234568000000
n14: 0.000025
n15: 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005
n16: 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002225073858507201
