Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 32.51      1.97     1.97 230890623     0.00     0.00  term_drop
 26.90      3.60     1.63 216597197     0.00     0.00  span_fade
  4.62      3.88     0.28 69792137     0.00     0.00  spin_215
  3.96      4.12     0.24 108390560     0.00     0.00  rfc_wrap
  3.63      4.34     0.22 22823447     0.00     0.00  WL_FID_BIGNAT_CMP
  3.63      4.56     0.22 18701540     0.00     0.00  WL_FID_F64_DG_DIGIT
  2.64      4.72     0.16  7618908     0.00     0.00  WL_FID_BIGNAT_SUB
  2.64      4.88     0.16                             _init
  2.31      5.02     0.14 84064243     0.00     0.00  WL_FID_BIGNAT_CMP_K1348
  1.32      5.10     0.08 17001400     0.00     0.00  WL_FID_F64_DG_DIGIT_K228
  1.32      5.18     0.08  7557592     0.00     0.00  WL_FID_BIGNAT_MUL_SMALL
  0.99      5.24     0.06 17001400     0.00     0.00  WL_FID_F64_DG_SUB_IF
  0.99      5.30     0.06     8943     0.00     0.00  heap_alloc_miss
  0.83      5.35     0.05 17001400     0.00     0.00  WL_FID_BIGNAT_IS_LT_K649
  0.66      5.39     0.04 30475632     0.00     0.00  WL_FID_BIGNAT_SUB_K652
  0.66      5.43     0.04  2668825     0.00     0.00  WL_FID_BIGNAT_ADD
  0.66      5.47     0.04  2251051     0.00     0.00  WL_FID_JSON_STEP
  0.66      5.51     0.04   500488     0.00     0.00  spin_7
  0.50      5.54     0.03   445403     0.00     0.00  spin_86
  0.50      5.57     0.03   444366     0.00     0.00  WL_FID_BIGNAT_SHR_BITS
  0.50      5.60     0.03    56053     0.00     0.00  WL_FID_ENCODE_VKIND
  0.33      5.62     0.02 18453231     0.00     0.00  WL_FID_BIGNAT_MUL_SMALL_K1109
  0.33      5.64     0.02 17001400     0.00     0.00  WL_FID_BIGNAT_IS_GE
  0.33      5.66     0.02 17001400     0.00     0.00  WL_FID_F64_DG_DIGIT_K229
  0.33      5.68     0.02  2033426     0.00     0.00  WL_FID_BIGNAT_SHL_BITS
  0.33      5.70     0.02  1700140     0.00     0.00  WL_FID_F64_DG_STEP_K329
  0.33      5.72     0.02  1700140     0.00     0.00  WL_FID_F64_DG_STEP_K332
