Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 33.53      3.34     3.34 363160413     0.00     0.00  term_drop
 23.69      5.70     2.36 335602547     0.00     0.00  span_fade
  5.97      6.29     0.59 213348829     0.00     0.00  rfc_wrap
  5.42      6.83     0.54 32364728     0.00     0.00  WL_FID_BIGNAT_CMP
  3.71      7.21     0.37    22601     0.00     0.00  heap_alloc_miss
  2.51      7.46     0.25 26336640     0.00     0.00  WL_FID_F64_DG_DIGIT
  2.41      7.70     0.24 101138106     0.00     0.00  spin_215
  2.11      7.91     0.21                             _init
  1.91      8.10     0.19 10402342     0.00     0.00  WL_FID_BIGNAT_SUB
  1.81      8.28     0.18  4793264     0.00     0.00  spin_7
  1.51      8.43     0.15 23942400     0.00     0.00  WL_FID_F64_DG_DIGIT_K228
  1.31      8.55     0.13 124384639     0.00     0.00  WL_FID_BIGNAT_CMP_K1348
  1.10      8.66     0.11        4     0.03     0.03  io_cstr
  0.70      8.73     0.07  1000002     0.00     0.00  ctr_take
  0.60      8.79     0.06 23942400     0.00     0.00  WL_FID_F64_DG_SUB_IF
  0.60      8.86     0.06 10682105     0.00     0.00  WL_FID_BIGNAT_MUL_SMALL
  0.60      8.91     0.06  1845785     0.00     0.00  spin_34
  0.50      8.96     0.05 23942400     0.00     0.00  WL_FID_BIGNAT_IS_LT
  0.50      9.02     0.05  2394240     0.00     0.00  WL_FID_F64_DG_STEP_K333
  0.50      9.06     0.05   800001     0.00     0.00  WL_FID_JSON_W
  0.40      9.11     0.04 41609368     0.00     0.00  WL_FID_BIGNAT_SUB_K652
  0.40      9.14     0.04  2394240     0.00     0.00  WL_FID_F64_DG_STEP_K332
  0.40      9.19     0.04   600000     0.00     0.00  WL_FID_F64_SHOW_JSON_FAST
  0.40      9.22     0.04   200001     0.00     0.00  spin_118
  0.30      9.26     0.03  4213120     0.00     0.00  WL_FID_BIGNAT_ADD
  0.30      9.29     0.03  2394240     0.00     0.00  WL_FID_F64_DG_STEP_K329
  0.30      9.31     0.03  2394240     0.00     0.00  WL_FID_F64_DG_STEP_K330
  0.30      9.35     0.03   600000     0.00     0.00  spin_346
  0.30      9.38     0.03   454926     0.00     0.00  WL_FID_BIGNAT_P5_STEP
  0.30      9.40     0.03   200001     0.00     0.00  spin_1
