Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 34.26      0.37     0.37 14787804     0.00     0.00  term_drop
 15.28      0.54     0.17 55178751     0.00     0.00  rfc_wrap
 13.89      0.69     0.15     7702     0.00     0.00  heap_alloc_miss
  9.26      0.79     0.10 11855418     0.00     0.00  span_fade
  8.33      0.88     0.09   167259     0.00     0.00  spin_7
  2.78      0.91     0.03    25283     0.00     0.00  spin_148
  2.78      0.94     0.03        4     0.01     0.01  io_cstr
  1.85      0.95     0.02    11578     0.00     0.00  WL_FID_DECODE_UNESC
  1.85      0.97     0.02        3     0.01     0.01  spin_34
  0.93      0.98     0.01  3089198     0.00     0.00  WL_FID_DECODE_SCAN_GO
  0.93      0.99     0.01  3089197     0.00     0.00  WL_FID_DECODE_SCAN_GO_K1014
  0.93      1.00     0.01   390369     0.00     0.00  spin_92
  0.93      1.01     0.01    34128     0.00     0.00  spin_342
  0.93      1.02     0.01    22750     0.00     0.00  spin_218
  0.93      1.03     0.01    18959     0.00     0.00  WL_FID_DECODE_EAT
  0.93      1.04     0.01        1     0.01     0.16  WL_FID_CLI_CONVERT
  0.93      1.05     0.01        1     0.01     0.01  WL_FID_DECODE_SCAN_K1130
  0.93      1.06     0.01        1     0.01     0.05  spin_430
  0.93      1.07     0.01                             _init
  0.46      1.08     0.01                             err_fail
  0.00      1.08     0.00  3089197     0.00     0.00  WL_FID_DECODE_SCAN_CH
  0.00      1.08     0.00  2596891     0.00     0.00  spin_107
  0.00      1.08     0.00   146626     0.00     0.00  spin_11
  0.00      1.08     0.00   140953     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K970
  0.00      1.08     0.00   131458     0.00     0.00  spin_10
  0.00      1.08     0.00   102988     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K968
  0.00      1.08     0.00    37922     0.00     0.00  spin_22
  0.00      1.08     0.00    30980     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K971
  0.00      1.08     0.00    29741     0.00     0.00  spin_71
  0.00      1.08     0.00    28439     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K969
  0.00      1.08     0.00    22754     0.00     0.00  ctr_take
  0.00      1.08     0.00    22754     0.00     0.00  spare_free
  0.00      1.08     0.00    22753     0.00     0.00  WL_FID_DECODE_RUN
  0.00      1.08     0.00    22753     0.00     0.00  spin_305
  0.00      1.08     0.00    22752     0.00     0.00  WL_FID_DECODE_DECIDE
  0.00      1.08     0.00    18961     0.00     0.00  WL_FID_DECODE_ATTACH
  0.00      1.08     0.00    18961     0.00     0.00  WL_FID_DECODE_SCAN_END
  0.00      1.08     0.00    18961     0.00     0.00  WL_FID_JSON_W
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_DECODE_ATTACH_K426
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_DECODE_EAT_KV
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_DECODE_EAT_KV_K670
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_DECODE_EAT_KV_PLAIN
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_DECODE_HEADER
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_DECODE_KV
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_DECODE_SCAN_CHECK
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_DECODE_SCAN_END_K890
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_JSON_W_K1142
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_TEXT_KS_PUT
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_TEXT_KS_PUT_GO
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_TEXT_KT_PUT
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_TEXT_KT_PUT_GO
  0.00      1.08     0.00    18960     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K967
  0.00      1.08     0.00    18960     0.00     0.00  spin_110
  0.00      1.08     0.00    18960     0.00     0.00  spin_199
  0.00      1.08     0.00    18960     0.00     0.00  spin_200
  0.00      1.08     0.00    18960     0.00     0.00  spin_345
  0.00      1.08     0.00    18960     0.00     0.00  spin_346
  0.00      1.08     0.00    18960     0.00     0.00  spin_59
  0.00      1.08     0.00    18959     0.00     0.00  WL_FID_DECODE_EAT_K548
  0.00      1.08     0.00    18959     0.00     0.00  WL_FID_DECODE_RUN_K688
  0.00      1.08     0.00    17898     0.00     0.00  spin_145
  0.00      1.08     0.00    15168     0.00     0.00  WL_FID_DECODE_EAT_KV_PLAIN_K519
  0.00      1.08     0.00    15168     0.00     0.00  WL_FID_DECODE_EAT_PRIM
  0.00      1.08     0.00    15168     0.00     0.00  WL_FID_DECODE_PRIM
  0.00      1.08     0.00     9910     0.00     0.00  WL_FID_DECODE_PRIM_K673
  0.00      1.08     0.00     9910     0.00     0.00  WL_FID_F64_LITERAL
  0.00      1.08     0.00     9910     0.00     0.00  spin_88
  0.00      1.08     0.00     9910     0.00     0.00  spin_89
  0.00      1.08     0.00     6320     0.00     0.00  WL_FID_DECODE_KV_K517
  0.00      1.08     0.00     5258     0.00     0.00  WL_FID_DECODE_LIT
  0.00      1.08     0.00     5258     0.00     0.00  WL_FID_DECODE_PRIM_K672
  0.00      1.08     0.00     3793     0.00     0.00  WL_FID_DECODE_POP
  0.00      1.08     0.00     3793     0.00     0.00  WL_FID_JSON_W_K1140
  0.00      1.08     0.00     3793     0.00     0.00  spin_344
  0.00      1.08     0.00     3793     0.00     0.00  spin_80
  0.00      1.08     0.00     3793     0.00     0.00  term_keep
  0.00      1.08     0.00     3790     0.00     0.00  WL_FID_DECODE_RUN_K689
  0.00      1.08     0.00     1742     0.00     0.00  heap_hand
  0.00      1.08     0.00       42     0.00     0.00  WL_FID_CLO_APPLY
  0.00      1.08     0.00       30     0.00     0.00  io_mem
  0.00      1.08     0.00       11     0.00     0.00  WL_FID_ENTER
  0.00      1.08     0.00       11     0.00     0.00  WL_FID_EXIT
  0.00      1.08     0.00       11     0.00     0.09  corpus_eval
  0.00      1.08     0.00       11     0.00     0.00  spin_433
  0.00      1.08     0.00       10     0.00     0.00  WL_FID_IO_BIND
  0.00      1.08     0.00       10     0.00     0.00  WL_FID_IO_BIND_C1959
  0.00      1.08     0.00       10     0.00     0.00  WL_FID_IO_BIND_K1960
  0.00      1.08     0.00        9     0.00     0.00  io_exec
  0.00      1.08     0.00        6     0.00     0.16  io_step
  0.00      1.08     0.00        6     0.00     0.00  io_sync
  0.00      1.08     0.00        5     0.00     0.01  io_wait
  0.00      1.08     0.00        5     0.00     0.00  io_work
  0.00      1.08     0.00        4     0.00     0.00  WL_FID_FILE_READ_BYTES
  0.00      1.08     0.00        4     0.00     0.00  WL_FID_READ_LOOP
  0.00      1.08     0.00        4     0.00     0.00  file_read_bytes_call
  0.00      1.08     0.00        4     0.00     0.01  file_read_bytes_pack
  0.00      1.08     0.00        4     0.00     0.00  file_read_bytes_run
  0.00      1.08     0.00        3     0.00     0.00  WL_FID_CLI_RESOLVE
  0.00      1.08     0.00        3     0.00     0.00  WL_FID_CLI_SCAN
  0.00      1.08     0.00        3     0.00     0.00  WL_FID_CLI_TOKS_GO
  0.00      1.08     0.00        3     0.00     0.00  WL_FID_DECODE_RUN_K690
  0.00      1.08     0.00        3     0.00     0.00  WL_FID_READ_LOOP_C1577
  0.00      1.08     0.00        3     0.00     0.00  WL_FID_READ_LOOP_C1578
  0.00      1.08     0.00        3     0.00     0.00  io_str
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_CLI_COMMIT
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_CLI_C_ADD
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_CLI_ON_TOK
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_CLI_SCAN_K1896
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_CLI_TOKS_GO_K1838
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_CLI_TOKS_STEP
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_CLI_TOKS_STEP_K1755
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_CLI_TOK_WORD
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_IO_PURE
  0.00      1.08     0.00        2     0.00     0.00  WL_FID_LIST_APPEND
  0.00      1.08     0.00        2     0.00     0.00  spin_122
  0.00      1.08     0.00        2     0.00     0.00  spin_448
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_COMMIT_K1798
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_COMMIT_K1799
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_COMMIT_K1800
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_CONVERT_K1639
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_CONVERT_K1641
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_DEC_RUN
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_FLAG_AFTER
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_FLAG_AFTER_K1687
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_ON_PLAIN
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_ON_PLAIN_K1767
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_ON_TOK_K1856
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_PARSE
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_PARSE_K1928
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_PARSE_K1929
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_PARSE_K1930
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_TOKS
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_TOKS_K1894
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_VALIDATE
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_CLI_WORD_SET
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_DECODE_DECODE
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_DECODE_DECODE_K1246
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_DECODE_ROOT_OBJECT
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_DECODE_ROOT_OBJECT_K784
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_DECODE_ROOT_OBJECT_K785
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_DECODE_RUN_DONE
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_DECODE_SCAN
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_FILE_CLOSE
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_FILE_OPEN
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_IO_ARGS
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_IO_EMIT
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_IO_GET_ENV
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_IO_WRITE
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_JSON_WRITE_LN
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_JSON_WRITE_LN_K1254
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_LIST_APPEND_K1599
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_C1962
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_C1963
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_C1967
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_C1968
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_C1970
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_C1971
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_C1976
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_C1977
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_K1964
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_K1969
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_MAIN_K1974
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_PUT_STATS_C1201
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_READ_INPUT
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_READ_INPUT_C1750
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_READ_INPUT_C1751
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_READ_LOOP_C1574
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_READ_LOOP_C1575
  0.00      1.08     0.00        1     0.00     0.05  WL_FID_READ_LOOP_C1576
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_READ_OPENED
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_READ_OPENED_C1664
  0.00      1.08     0.00        1     0.00     0.00  WL_FID_READ_OPENED_C1665
  0.00      1.08     0.00        1     0.00     0.00  file_close_run
  0.00      1.08     0.00        1     0.00     0.00  file_open_call
  0.00      1.08     0.00        1     0.00     0.00  file_open_pack
  0.00      1.08     0.00        1     0.00     0.02  file_open_run
  0.00      1.08     0.00        1     0.00     0.00  io_args_run
  0.00      1.08     0.00        1     0.00     0.00  io_fail
  0.00      1.08     0.00        1     0.00     0.01  io_get_env_run
  0.00      1.08     0.00        1     0.00     1.06  io_loop
  0.00      1.08     0.00        1     0.00     0.00  io_out
  0.00      1.08     0.00        1     0.00     0.00  io_spawn
  0.00      1.08     0.00        1     0.00     0.01  io_write_run
  0.00      1.08     0.00        1     0.00     0.00  pool_stack
  0.00      1.08     0.00        1     0.00     0.00  spin_19
  0.00      1.08     0.00        1     0.00     0.00  spin_299
  0.00      1.08     0.00        1     0.00     0.00  spin_370
  0.00      1.08     0.00        1     0.00     0.00  spin_428
  0.00      1.08     0.00        1     0.00     0.00  spin_446
  0.00      1.08     0.00        1     0.00     0.00  spin_460
