Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.00      0.18     0.18 17021214     0.00     0.00  span_fade
 15.28      0.29     0.11 18052509     0.00     0.00  term_drop
  9.72      0.36     0.07 14322161     0.00     0.00  rfc_wrap
  6.94      0.41     0.05   137707     0.00     0.00  spin_7
  5.56      0.45     0.04        4    10.00    10.00  io_cstr
  4.17      0.48     0.03  4743022     0.00     0.00  spin_215
  4.17      0.51     0.03    65279     0.00     0.00  spin_86
  4.17      0.54     0.03     2212     0.01     0.01  heap_alloc_miss
  2.78      0.56     0.02  1225113     0.00     0.00  WL_FID_BIGNAT_CMP
  2.78      0.58     0.02   180437     0.00     0.00  spin_308
  2.78      0.60     0.02        1    20.00    47.05  WL_FID_CLI_CONVERT
  1.39      0.61     0.01  2001649     0.00     0.00  WL_FID_BIGNAT_SUB_K652
  1.39      0.62     0.01  1276006     0.00     0.00  WL_FID_BIGNAT_MUL_SMALL_K1109
  1.39      0.63     0.01   936649     0.00     0.00  WL_FID_JSON_RUN_K1373
  1.39      0.64     0.01   429817     0.00     0.00  WL_FID_BIGNAT_MUL_SMALL
  1.39      0.65     0.01   404029     0.00     0.00  WL_FID_BIGNAT_SUB
  1.39      0.66     0.01   229500     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K968
  1.39      0.67     0.01   155669     0.00     0.00  WL_FID_BIGNAT_ADD
  1.39      0.68     0.01    97031     0.00     0.00  WL_FID_BIGNAT_FROM_DEC
  1.39      0.69     0.01    91447     0.00     0.00  WL_FID_F64_DG_STEP_K331
  1.39      0.70     0.01    22950     0.00     0.00  WL_FID_JSON_NUM_VALUE
  1.39      0.71     0.01     7651     0.00     0.00  WL_FID_ENCODE_ROWS
  1.39      0.72     0.01        1    10.00    10.04  spin_118
  0.00      0.72     0.00  5836776     0.00     0.00  WL_FID_BIGNAT_CMP_K1348
  0.00      0.72     0.00  1005917     0.00     0.00  WL_FID_F64_DG_DIGIT
  0.00      0.72     0.00   936650     0.00     0.00  WL_FID_JSON_RUN
  0.00      0.72     0.00   936649     0.00     0.00  WL_FID_JSON_STEP
  0.00      0.72     0.00   914470     0.00     0.00  WL_FID_BIGNAT_IS_GE
  0.00      0.72     0.00   914470     0.00     0.00  WL_FID_BIGNAT_IS_GE_K755
  0.00      0.72     0.00   914470     0.00     0.00  WL_FID_BIGNAT_IS_LT
  0.00      0.72     0.00   914470     0.00     0.00  WL_FID_BIGNAT_IS_LT_K649
  0.00      0.72     0.00   914470     0.00     0.00  WL_FID_F64_DG_DIGIT_K228
  0.00      0.72     0.00   914470     0.00     0.00  WL_FID_F64_DG_DIGIT_K229
  0.00      0.72     0.00   914470     0.00     0.00  WL_FID_F64_DG_SUB_IF
  0.00      0.72     0.00   509261     0.00     0.00  WL_FID_BIGNAT_SHL_BITS_K1124
  0.00      0.72     0.00   370993     0.00     0.00  WL_FID_BIGNAT_ADD_K1113
  0.00      0.72     0.00   281910     0.00     0.00  spin_311
  0.00      0.72     0.00   281009     0.00     0.00  WL_FID_BIGNAT_ADD_K1112
  0.00      0.72     0.00   275400     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K970
  0.00      0.72     0.00   178535     0.00     0.00  WL_FID_BIGNAT_STRIP_K995
  0.00      0.72     0.00   145184     0.00     0.00  WL_FID_F64_DG_GEN
  0.00      0.72     0.00   139600     0.00     0.00  WL_FID_F64_DG_GEN_K469
  0.00      0.72     0.00   139600     0.00     0.00  WL_FID_F64_DG_STEP
  0.00      0.72     0.00   137840     0.00     0.00  WL_FID_F64_DIGITS_TEXT_K644
  0.00      0.72     0.00   137840     0.00     0.00  WL_FID_LIST_LENGTH_K815
  0.00      0.72     0.00   136560     0.00     0.00  spin_92
  0.00      0.72     0.00   122409     0.00     0.00  spin_71
  0.00      0.72     0.00   121433     0.00     0.00  WL_FID_BIGNAT_SHL_BITS
  0.00      0.72     0.00   106779     0.00     0.00  spin_339
  0.00      0.72     0.00   102205     0.00     0.00  WL_FID_STRING_APPEND_K1720
  0.00      0.72     0.00    91447     0.00     0.00  WL_FID_BIGNAT_FROM_DEC_K71
  0.00      0.72     0.00    91447     0.00     0.00  WL_FID_F64_DG_STEP_K326
  0.00      0.72     0.00    91447     0.00     0.00  WL_FID_F64_DG_STEP_K327
  0.00      0.72     0.00    91447     0.00     0.00  WL_FID_F64_DG_STEP_K328
  0.00      0.72     0.00    91447     0.00     0.00  WL_FID_F64_DG_STEP_K329
  0.00      0.72     0.00    91447     0.00     0.00  WL_FID_F64_DG_STEP_K330
  0.00      0.72     0.00    91447     0.00     0.00  WL_FID_F64_DG_STEP_K332
  0.00      0.72     0.00    91447     0.00     0.00  WL_FID_F64_DG_STEP_K333
  0.00      0.72     0.00    91447     0.00     0.00  WL_FID_F64_DG_STEP_K334
  0.00      0.72     0.00    86909     0.00     0.00  WL_FID_BIGNAT_SHR_BITS_K655
  0.00      0.72     0.00    76501     0.00     0.00  ctr_take
  0.00      0.72     0.00    68851     0.00     0.00  WL_FID_JSON_AFTER
  0.00      0.72     0.00    66600     0.00     0.00  spin_34
  0.00      0.72     0.00    62038     0.00     0.00  spin_52
  0.00      0.72     0.00    61200     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K969
  0.00      0.72     0.00    51747     0.00     0.00  WL_FID_STRING_APPEND
  0.00      0.72     0.00    50256     0.00     0.00  WL_FID_BIGNAT_MUL
  0.00      0.72     0.00    45901     0.00     0.00  WL_FID_JSON_PUSH
  0.00      0.72     0.00    45900     0.00     0.00  WL_FID_ENCODE_PUT_CELLS_SEQ
  0.00      0.72     0.00    45900     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K971
  0.00      0.72     0.00    38252     0.00     0.00  spare_free
  0.00      0.72     0.00    38251     0.00     0.00  spin_22
  0.00      0.72     0.00    38250     0.00     0.00  WL_FID_ENCODE_PUT_PRIM
  0.00      0.72     0.00    38250     0.00     0.00  WL_FID_JSON_OBJ_MEMBER
  0.00      0.72     0.00    38250     0.00     0.00  WL_FID_JSON_OBJ_MEMBER_K947
  0.00      0.72     0.00    38250     0.00     0.00  WL_FID_JSON_PUSH_K1056
  0.00      0.72     0.00    38250     0.00     0.00  WL_FID_TEXT_KS_PUT
  0.00      0.72     0.00    38250     0.00     0.00  WL_FID_TEXT_KS_PUT_GO
  0.00      0.72     0.00    38250     0.00     0.00  WL_FID_TEXT_KT_PUT
  0.00      0.72     0.00    38250     0.00     0.00  WL_FID_TEXT_KT_PUT_GO
  0.00      0.72     0.00    38250     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K967
