Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 38.98      1.61     1.61 53401969     0.00     0.00  term_drop
 11.86      2.10     0.49 37420433     0.00     0.00  span_fade
 10.17      2.52     0.42    26130     0.00     0.00  heap_alloc_miss
  7.63      2.83     0.32 151837125     0.00     0.00  rfc_wrap
  2.66      2.94     0.11  2137759     0.00     0.00  spin_7
  1.69      3.02     0.07   399369     0.00     0.00  spin_110
  1.69      3.08     0.07        4     0.02     0.02  io_cstr
  1.45      3.15     0.06  9008372     0.00     0.00  WL_FID_DECODE_SCAN_CH
  1.45      3.21     0.06  3467672     0.00     0.00  WL_FID_DECODE_X_NORM
  1.45      3.27     0.06   337896     0.00     0.00  ctr_take
  1.45      3.33     0.06        1     0.06     0.55  WL_FID_CLI_CONVERT
  1.21      3.38     0.05  9008373     0.00     0.00  WL_FID_DECODE_SCAN_GO
  1.21      3.42     0.05  9008372     0.00     0.00  WL_FID_DECODE_SCAN_GO_K1014
  1.21      3.48     0.05   368512     0.00     0.00  spin_342
  1.21      3.52     0.05   354585     0.00     0.00  spin_148
  1.21      3.58     0.05   201161     0.00     0.00  WL_FID_DECODE_FIELD_INS
  0.97      3.62     0.04   433700     0.00     0.00  spin_179
  0.97      3.65     0.04   257719     0.00     0.00  WL_FID_DECODE_DEPTH_OF
  0.73      3.69     0.03   263951     0.00     0.00  WL_FID_DECODE_QSET
  0.73      3.71     0.03   219134     0.00     0.00  WL_FID_TEXT_KT_PUT_GO
  0.73      3.75     0.03        1     0.03     0.03  WL_FID_DECODE_SCAN_K1130
  0.73      3.77     0.03                             _init
  0.48      3.79     0.02  1567755     0.00     0.00  spin_10
  0.48      3.81     0.02  1528414     0.00     0.00  WL_FID_DECODE_XM_SET_GO_K97
  0.48      3.83     0.02   260607     0.00     0.00  spin_218
  0.48      3.85     0.02   257719     0.00     0.00  WL_FID_JSON_W
  0.48      3.88     0.02   217120     0.00     0.00  WL_FID_DECODE_XM_SET
  0.48      3.90     0.02   217120     0.00     0.00  WL_FID_DECODE_XM_SET_GO
  0.48      3.92     0.02   216580     0.00     0.00  spin_250
  0.48      3.94     0.02        1     0.02     0.05  spin_430
  0.24      3.94     0.01  6402259     0.00     0.00  spin_107
  0.24      3.96     0.01  1705109     0.00     0.00  spin_11
  0.24      3.96     0.01  1458005     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K968
  0.24      3.98     0.01  1442228     0.00     0.00  WL_FID_DECODE_XM_SET_GO_K95
  0.24      3.98     0.01   442284     0.00     0.00  spin_71
  0.24      4.00     0.01   347438     0.00     0.00  spin_305
  0.24      4.00     0.01   260611     0.00     0.00  WL_FID_DECODE_RUN
  0.24      4.01     0.01   260610     0.00     0.00  WL_FID_DECODE_DECIDE
  0.24      4.03     0.01   257718     0.00     0.00  spin_345
  0.24      4.04     0.01   238262     0.00     0.00  spin_61
  0.24      4.04     0.01   219134     0.00     0.00  WL_FID_TEXT_KT_PUT
  0.24      4.05     0.01   217120     0.00     0.00  WL_FID_DECODE_XO_SET_K317
  0.24      4.07     0.01   201161     0.00     0.00  WL_FID_DECODE_QSET_ADD
  0.24      4.08     0.01   195166     0.00     0.00  WL_FID_DECODE_HEADER
  0.24      4.08     0.01   191081     0.00     0.00  WL_FID_DECODE_EAT_K548
  0.24      4.09     0.01   167860     0.00     0.00  WL_FID_DECODE_PRIM
  0.24      4.11     0.01   135351     0.00     0.00  spin_89
  0.24      4.12     0.01    39552     0.00     0.00  WL_FID_DECODE_UNESC
  0.24      4.12     0.01       10     0.00     0.01  file_read_bytes_pack
  0.12      4.13     0.01                             err_fail
  0.00      4.13     0.00  3049391     0.00     0.00  WL_FID_DECODE_X_NORM_K796
  0.00      4.13     0.00  2970642     0.00     0.00  WL_FID_DECODE_X_NORM_K797
  0.00      4.13     0.00  2970642     0.00     0.00  WL_FID_DECODE_X_NORM_K798
  0.00      4.13     0.00  1957168     0.00     0.00  spin_92
