Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 29.72      1.26     1.26 42887960     0.00     0.00  term_drop
 10.85      1.72     0.46  1152343     0.00     0.00  spin_86
 10.26      2.15     0.43 161141955     0.00     0.00  rfc_wrap
  8.73      2.52     0.37   938304     0.00     0.00  spin_7
  8.49      2.88     0.36 40278579     0.00     0.00  span_fade
  7.08      3.19     0.30        4     0.07     0.08  io_cstr
  6.84      3.48     0.29    24184     0.00     0.00  heap_alloc_miss
  4.01      3.65     0.17 13012341     0.00     0.00  WL_FID_JSON_STEP
  1.89      3.73     0.08 13012341     0.00     0.00  WL_FID_JSON_RUN_K1373
  1.65      3.79     0.07     2573     0.00     0.00  spin_19
  1.18      3.85     0.05    12249     0.00     0.00  spin_34
  0.71      3.88     0.03 13012342     0.00     0.00  WL_FID_JSON_RUN
  0.71      3.90     0.03   211114     0.00     0.00  spin_329
  0.71      3.94     0.03        1     0.03     0.65  WL_FID_CLI_CONVERT
  0.71      3.96     0.03        1     0.03     0.07  spin_430
  0.47      3.98     0.02   472919     0.00     0.00  spin_71
  0.47      4.00     0.02   221183     0.00     0.00  WL_FID_TEXT_KT_PUT
  0.47      4.03     0.02   217109     0.00     0.00  spin_110
  0.47      4.04     0.02   215189     0.00     0.00  WL_FID_ENCODE_VKIND
  0.47      4.07     0.02   207030     0.00     0.00  WL_FID_ENCODE_CTX_FIELD
  0.47      4.08     0.02    71075     0.00     0.00  spin_361
  0.35      4.10     0.01                             err_fail
  0.24      4.11     0.01  5567865     0.00     0.00  spin_311
  0.24      4.12     0.01  3889076     0.00     0.00  spin_92
  0.24      4.13     0.01  1682384     0.00     0.00  WL_FID_JSON_AFTER
  0.24      4.14     0.01   847528     0.00     0.00  term_keep
  0.24      4.15     0.01   502572     0.00     0.00  WL_FID_ENCODE_EMIT
  0.24      4.16     0.01   365548     0.00     0.00  spin_268
