Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 26.67      0.04     0.04  1812860     0.00     0.00  term_drop
 13.33      0.06     0.02    68089     0.00     0.00  spin_86
  6.67      0.07     0.01  1678649     0.00     0.00  span_fade
  6.67      0.08     0.01   631516     0.00     0.00  WL_FID_JSON_RUN
  6.67      0.09     0.01   631515     0.00     0.00  WL_FID_JSON_RUN_K1373
  6.67      0.10     0.01   166516     0.00     0.00  WL_FID_BIGNAT_CMP_K1348
  6.67      0.11     0.01    51270     0.00     0.00  spin_7
  6.67      0.12     0.01    13601     0.00     0.00  WL_FID_TEXT_KT_PUT
  6.67      0.13     0.01     9851     0.00     0.00  spin_308
  6.67      0.14     0.01     1001     0.01     0.01  heap_alloc_miss
  6.67      0.15     0.01        4     2.50     2.50  io_cstr
  0.00      0.15     0.00  6912958     0.00     0.00  rfc_wrap
  0.00      0.15     0.00   631515     0.00     0.00  WL_FID_JSON_STEP
  0.00      0.15     0.00   366689     0.00     0.00  spin_311
  0.00      0.15     0.00   148570     0.00     0.00  spin_215
  0.00      0.15     0.00   137118     0.00     0.00  spin_92
  0.00      0.15     0.00    81299     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K970
  0.00      0.15     0.00    77995     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K968
  0.00      0.15     0.00    59896     0.00     0.00  WL_FID_BIGNAT_SUB_K652
  0.00      0.15     0.00    46365     0.00     0.00  WL_FID_BIGNAT_MUL_SMALL_K1109
  0.00      0.15     0.00    45910     0.00     0.00  spare_free
  0.00      0.15     0.00    43099     0.00     0.00  term_keep
  0.00      0.15     0.00    42880     0.00     0.00  WL_FID_BIGNAT_CMP
  0.00      0.15     0.00    40103     0.00     0.00  ctr_take
  0.00      0.15     0.00    35277     0.00     0.00  WL_FID_F64_DG_DIGIT
  0.00      0.15     0.00    32070     0.00     0.00  WL_FID_BIGNAT_IS_GE
  0.00      0.15     0.00    32070     0.00     0.00  WL_FID_BIGNAT_IS_GE_K755
  0.00      0.15     0.00    32070     0.00     0.00  WL_FID_BIGNAT_IS_LT
  0.00      0.15     0.00    32070     0.00     0.00  WL_FID_BIGNAT_IS_LT_K649
  0.00      0.15     0.00    32070     0.00     0.00  WL_FID_F64_DG_DIGIT_K228
  0.00      0.15     0.00    32070     0.00     0.00  WL_FID_F64_DG_DIGIT_K229
  0.00      0.15     0.00    32070     0.00     0.00  WL_FID_F64_DG_SUB_IF
  0.00      0.15     0.00    29440     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K971
  0.00      0.15     0.00    29268     0.00     0.00  WL_FID_JSON_AFTER
  0.00      0.15     0.00    28882     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K969
  0.00      0.15     0.00    28359     0.00     0.00  WL_FID_ENCODE_EMIT
  0.00      0.15     0.00    18099     0.00     0.00  spin_268
  0.00      0.15     0.00    17709     0.00     0.00  WL_FID_BIGNAT_MUL_SMALL
  0.00      0.15     0.00    15652     0.00     0.00  WL_FID_BIGNAT_SHL_BITS_K1124
  0.00      0.15     0.00    15020     0.00     0.00  spin_71
  0.00      0.15     0.00    14974     0.00     0.00  WL_FID_BIGNAT_SUB
  0.00      0.15     0.00    14757     0.00     0.00  heap_free
  0.00      0.15     0.00    13914     0.00     0.00  WL_FID_JSON_PUSH
  0.00      0.15     0.00    13602     0.00     0.00  WL_FID_ENCODE_VKIND
  0.00      0.15     0.00    13602     0.00     0.00  spin_325
  0.00      0.15     0.00    13601     0.00     0.00  WL_FID_TEXT_KS_PUT
  0.00      0.15     0.00    13601     0.00     0.00  WL_FID_TEXT_KS_PUT_GO
  0.00      0.15     0.00    13601     0.00     0.00  WL_FID_TEXT_KT_PUT_GO
  0.00      0.15     0.00    13601     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K967
  0.00      0.15     0.00    13345     0.00     0.00  WL_FID_JSON_OBJ_MEMBER
  0.00      0.15     0.00    13345     0.00     0.00  WL_FID_JSON_OBJ_MEMBER_K947
  0.00      0.15     0.00    13345     0.00     0.00  WL_FID_JSON_PUSH_K1056
  0.00      0.15     0.00    13345     0.00     0.00  spin_110
  0.00      0.15     0.00    13345     0.00     0.00  spin_329
  0.00      0.15     0.00    13345     0.00     0.00  spin_347
  0.00      0.15     0.00    13089     0.00     0.00  WL_FID_ENCODE_CTX_FIELD
  0.00      0.15     0.00    13089     0.00     0.00  WL_FID_ENCODE_CTX_FIELD_K1169
  0.00      0.15     0.00    13089     0.00     0.00  WL_FID_ENCODE_EMIT_K1291
  0.00      0.15     0.00    13089     0.00     0.00  WL_FID_ENCODE_EMIT_K1292
  0.00      0.15     0.00    13089     0.00     0.00  spin_263
  0.00      0.15     0.00    11600     0.00     0.00  WL_FID_ENCODE_PUT_PRIM
  0.00      0.15     0.00    11288     0.00     0.00  WL_FID_ENCODE_EMIT_K1297
  0.00      0.15     0.00    11288     0.00     0.00  WL_FID_ENCODE_LINE_PRIM
  0.00      0.15     0.00    11288     0.00     0.00  WL_FID_ENCODE_LINE_PRIM_K1188
  0.00      0.15     0.00    10650     0.00     0.00  spin_84
  0.00      0.15     0.00     9956     0.00     0.00  WL_FID_BIGNAT_ADD_K1113
  0.00      0.15     0.00     9508     0.00     0.00  spin_11
  0.00      0.15     0.00     9388     0.00     0.00  WL_FID_STRING_APPEND_K1720
  0.00      0.15     0.00     8828     0.00     0.00  WL_FID_F64_DIGITS_TEXT_K644
  0.00      0.15     0.00     8828     0.00     0.00  WL_FID_LIST_LENGTH_K815
  0.00      0.15     0.00     8301     0.00     0.00  WL_FID_BIGNAT_ADD_K1112
  0.00      0.15     0.00     6864     0.00     0.00  spin_22
  0.00      0.15     0.00     5250     0.00     0.00  WL_FID_BIGNAT_SHL_BITS
  0.00      0.15     0.00     5189     0.00     0.00  WL_FID_BIGNAT_ADD
  0.00      0.15     0.00     5148     0.00     0.00  WL_FID_F64_DG_GEN
  0.00      0.15     0.00     4950     0.00     0.00  WL_FID_F64_DG_GEN_K469
  0.00      0.15     0.00     4950     0.00     0.00  WL_FID_F64_DG_STEP
  0.00      0.15     0.00     4942     0.00     0.00  spin_52
  0.00      0.15     0.00     4611     0.00     0.00  spin_88
  0.00      0.15     0.00     4611     0.00     0.00  spin_89
  0.00      0.15     0.00     4547     0.00     0.00  spin_34
  0.00      0.15     0.00     4352     0.00     0.00  WL_FID_BIGNAT_STRIP_K995
  0.00      0.15     0.00     3905     0.00     0.00  spin_339
  0.00      0.15     0.00     3746     0.00     0.00  WL_FID_BIGNAT_FROM_DEC
  0.00      0.15     0.00     3746     0.00     0.00  WL_FID_BIGNAT_POW10
  0.00      0.15     0.00     3548     0.00     0.00  WL_FID_BIGNAT_FROM_DEC_K71
  0.00      0.15     0.00     3351     0.00     0.00  WL_FID_BIGNAT_POW10_K1226
  0.00      0.15     0.00     3207     0.00     0.00  WL_FID_F64_DG_STEP_K326
  0.00      0.15     0.00     3207     0.00     0.00  WL_FID_F64_DG_STEP_K327
  0.00      0.15     0.00     3207     0.00     0.00  WL_FID_F64_DG_STEP_K328
  0.00      0.15     0.00     3207     0.00     0.00  WL_FID_F64_DG_STEP_K329
  0.00      0.15     0.00     3207     0.00     0.00  WL_FID_F64_DG_STEP_K330
  0.00      0.15     0.00     3207     0.00     0.00  WL_FID_F64_DG_STEP_K331
  0.00      0.15     0.00     3207     0.00     0.00  WL_FID_F64_DG_STEP_K332
  0.00      0.15     0.00     3207     0.00     0.00  WL_FID_F64_DG_STEP_K333
  0.00      0.15     0.00     3207     0.00     0.00  WL_FID_F64_DG_STEP_K334
  0.00      0.15     0.00     2631     0.00     0.00  WL_FID_BIGNAT_SHR_BITS_K655
  0.00      0.15     0.00     2314     0.00     0.00  spin_313
  0.00      0.15     0.00     2207     0.00     0.00  WL_FID_STRING_APPEND
  0.00      0.15     0.00     2109     0.00     0.00  WL_FID_ENCODE_PUT_PRIM_K1087
  0.00      0.15     0.00     2109     0.00     0.00  WL_FID_F64_SHOW_TOON_FAST
  0.00      0.15     0.00     2109     0.00     0.00  WL_FID_F64_TOKEN_VALUE
  0.00      0.15     0.00     2109     0.00     0.00  WL_FID_JSON_NUM_VALUE
  0.00      0.15     0.00     2109     0.00     0.00  WL_FID_JSON_STEP_K1258
  0.00      0.15     0.00     2109     0.00     0.00  WL_FID_JSON_STEP_K1259
  0.00      0.15     0.00     2043     0.00     0.00  WL_FID_BIGNAT_SHL
  0.00      0.15     0.00     2043     0.00     0.00  WL_FID_BIGNAT_SHL_K1237
  0.00      0.15     0.00     1846     0.00     0.00  WL_FID_BIGNAT_SHR
  0.00      0.15     0.00     1846     0.00     0.00  WL_FID_BIGNAT_SHR_BITS
  0.00      0.15     0.00     1846     0.00     0.00  WL_FID_BIGNAT_SHR_K880
  0.00      0.15     0.00     1663     0.00     0.00  spin_183
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_DIGITS_TEXT
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_INT_FIT
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_PLAIN
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_ROUND
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_SHORTEST_FAST
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K915
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_SHOW_TOON_FAST_K983
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_SHOW_TOON_FAST_K984
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_SHOW_TOON_FAST_K985
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_F64_SIGNED
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_LIST_LENGTH
  0.00      0.15     0.00     1647     0.00     0.00  WL_FID_STRING_REPEAT
  0.00      0.15     0.00     1646     0.00     0.00  WL_FID_F64_PLAIN_K750
  0.00      0.15     0.00     1646     0.00     0.00  WL_FID_F64_PLAIN_K751
  0.00      0.15     0.00     1646     0.00     0.00  WL_FID_JSON_NUM_VALUE_K1152
  0.00      0.15     0.00     1450     0.00     0.00  WL_FID_BIGNAT_STRIP
  0.00      0.15     0.00     1449     0.00     0.00  WL_FID_F64_BIG_OF_NAT
  0.00      0.15     0.00     1449     0.00     0.00  WL_FID_F64_FROM_NAT
  0.00      0.15     0.00     1449     0.00     0.00  WL_FID_F64_FROM_NAT_K1214
  0.00      0.15     0.00     1449     0.00     0.00  WL_FID_F64_INT_FIT_K806
  0.00      0.15     0.00     1449     0.00     0.00  WL_FID_F64_ROUND_K1231
  0.00      0.15     0.00     1449     0.00     0.00  WL_FID_F64_TOKEN_VALUE_K1053
  0.00      0.15     0.00     1388     0.00     0.00  WL_FID_BIGNAT_MUL
  0.00      0.15     0.00     1305     0.00     0.00  WL_FID_BIGNAT_ADD_K1111
  0.00      0.15     0.00     1264     0.00     0.00  WL_FID_ENCODE_KEYS_KT
  0.00      0.15     0.00     1264     0.00     0.00  spin_259
  0.00      0.15     0.00     1264     0.00     0.00  spin_80
  0.00      0.15     0.00     1228     0.00     0.00  spin_349
  0.00      0.15     0.00     1188     0.00     0.00  WL_FID_F64_DG_FIX
  0.00      0.15     0.00     1050     0.00     0.00  WL_FID_ENCODE_PUT_HEADER
  0.00      0.15     0.00     1050     0.00     0.00  WL_FID_ENCODE_PUT_HEADER_K1081
  0.00      0.15     0.00     1050     0.00     0.00  WL_FID_NAT_SHOW
  0.00      0.15     0.00     1050     0.00     0.00  WL_FID_NAT_SHOW_FIN
  0.00      0.15     0.00     1050     0.00     0.00  spin_118
  0.00      0.15     0.00     1007     0.00     0.00  WL_FID_ENCODE_EMIT_K1279
  0.00      0.15     0.00     1007     0.00     0.00  spin_361
  0.00      0.15     0.00      991     0.00     0.00  WL_FID_BIGNAT_MUL_K1228
  0.00      0.15     0.00      991     0.00     0.00  WL_FID_BIGNAT_MUL_K1229
  0.00      0.15     0.00      990     0.00     0.00  WL_FID_F64_DG_FIX_K605
  0.00      0.15     0.00      990     0.00     0.00  WL_FID_F64_DG_FIX_K606
  0.00      0.15     0.00      990     0.00     0.00  WL_FID_F64_DG_FIX_K607
  0.00      0.15     0.00      990     0.00     0.00  WL_FID_F64_DG_FIX_NEXT
  0.00      0.15     0.00      894     0.00     0.00  WL_FID_ENCODE_LINE_HDR
  0.00      0.15     0.00      894     0.00     0.00  WL_FID_ENCODE_LINE_HDR_K1186
  0.00      0.15     0.00      746     0.00     0.00  WL_FID_ENCODE_EMIT_K1273
  0.00      0.15     0.00      660     0.00     0.00  WL_FID_F64_TOKEN_LITERAL
  0.00      0.15     0.00      660     0.00     0.00  spin_41
  0.00      0.15     0.00      594     0.00     0.00  spin_224
  0.00      0.15     0.00      556     0.00     0.00  WL_FID_STRING_REPEAT_K490
  0.00      0.15     0.00      468     0.00     0.00  WL_FID_ENCODE_PUT_JOIN
  0.00      0.15     0.00      462     0.00     0.00  WL_FID_JSON_NUM_VALUE_K1151
  0.00      0.15     0.00      296     0.00     0.00  WL_FID_ENCODE_ROWS_OK_GO
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_CTX_FIRST
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_CTX_FIRST_K1172
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_CTX_ITEM
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_CTX_ITEM_K1167
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_EMIT_K1281
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_EMIT_K1282
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_EMIT_K1283
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_EMIT_K1284
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_EMIT_K1295
  0.00      0.15     0.00      256     0.00     0.00  WL_FID_ENCODE_EMIT_K1296
  0.00      0.15     0.00      211     0.00     0.00  heap_hand
  0.00      0.15     0.00      199     0.00     0.00  WL_FID_BIGNAT_IS_EQ
  0.00      0.15     0.00      199     0.00     0.00  WL_FID_BIGNAT_IS_EQ_K587
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_DG_FIX_NEXT_K466
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_DG_INIT
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_DG_SCALE
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_FROM_DEC_P10
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_ROUND_K1232
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_ROUND_K1233
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K916
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K917
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K918
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K919
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K920
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K921
  0.00      0.15     0.00      198     0.00     0.00  WL_FID_F64_TOKEN_RANGE
  0.00      0.15     0.00      198     0.00     0.00  spin_87
