Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 53.85      0.14     0.14  3625106     0.00     0.00  term_drop
  7.69      0.16     0.02 10224224     0.00     0.00  rfc_wrap
  7.69      0.18     0.02     1609     0.01     0.01  heap_alloc_miss
  3.85      0.19     0.01  2771440     0.00     0.00  span_fade
  3.85      0.20     0.01   650763     0.00     0.00  WL_FID_DECODE_SCAN_CH
  3.85      0.21     0.01   556672     0.00     0.00  spin_107
  3.85      0.22     0.01   140824     0.00     0.00  spin_7
  3.85      0.23     0.01    11999     0.00     0.00  WL_FID_DECODE_EAT_KV_PLAIN_K519
  3.85      0.24     0.01        4     2.50     2.50  io_cstr
  3.85      0.25     0.01        2     5.00     7.81  file_read_bytes_pack
  3.85      0.26     0.01        1    10.00    10.04  WL_FID_DECODE_SCAN_K1130
  0.00      0.26     0.00   650764     0.00     0.00  WL_FID_DECODE_SCAN_GO
  0.00      0.26     0.00   650763     0.00     0.00  WL_FID_DECODE_SCAN_GO_K1014
  0.00      0.26     0.00   213763     0.00     0.00  spin_92
  0.00      0.26     0.00   127887     0.00     0.00  spin_11
  0.00      0.26     0.00   115700     0.00     0.00  spin_10
  0.00      0.26     0.00   107121     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K970
  0.00      0.26     0.00   100177     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K968
  0.00      0.26     0.00    33205     0.00     0.00  spin_22
  0.00      0.26     0.00    30785     0.00     0.00  spin_71
  0.00      0.26     0.00    29853     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K969
  0.00      0.26     0.00    27232     0.00     0.00  spin_342
  0.00      0.26     0.00    25217     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K971
  0.00      0.26     0.00    24913     0.00     0.00  spin_148
  0.00      0.26     0.00    21108     0.00     0.00  spin_305
  0.00      0.26     0.00    20949     0.00     0.00  spare_free
  0.00      0.26     0.00    20921     0.00     0.00  ctr_take
  0.00      0.26     0.00    20556     0.00     0.00  WL_FID_DECODE_RUN
  0.00      0.26     0.00    20555     0.00     0.00  WL_FID_DECODE_DECIDE
  0.00      0.26     0.00    20552     0.00     0.00  spin_218
  0.00      0.26     0.00    16707     0.00     0.00  WL_FID_JSON_W
  0.00      0.26     0.00    16706     0.00     0.00  spin_345
