Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.04     0.04  2649867     0.00     0.00  term_drop
 14.29      0.08     0.04    70751     0.00     0.00  spin_7
 10.71      0.11     0.03    88396     0.00     0.00  spin_86
  7.14      0.13     0.02  2460781     0.00     0.00  span_fade
  7.14      0.15     0.02    16458     0.00     0.00  WL_FID_TEXT_KT_PUT_GO
  7.14      0.17     0.02        4     5.00     5.00  io_cstr
  3.57      0.18     0.01   781712     0.00     0.00  WL_FID_JSON_RUN
  3.57      0.19     0.01   781711     0.00     0.00  WL_FID_JSON_STEP
  3.57      0.20     0.01   336466     0.00     0.00  spin_92
  3.57      0.21     0.01    29883     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K969
  3.57      0.22     0.01    16458     0.00     0.00  WL_FID_JSON_OBJ_MEMBER_K947
  3.57      0.23     0.01    16458     0.00     0.00  spin_110
  3.57      0.24     0.01    11999     0.00     0.00  WL_FID_ENCODE_LINE_PRIM
  3.57      0.25     0.01    10774     0.00     0.00  spin_89
  3.57      0.26     0.01     1476     0.01     0.01  heap_alloc_miss
  3.57      0.27     0.01        4     2.50     2.56  spin_34
  3.57      0.28     0.01        1    10.00    30.98  WL_FID_CLI_CONVERT
  0.00      0.28     0.00 10305571     0.00     0.00  rfc_wrap
  0.00      0.28     0.00   781711     0.00     0.00  WL_FID_JSON_RUN_K1373
  0.00      0.28     0.00   515417     0.00     0.00  spin_311
  0.00      0.28     0.00   107601     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K970
  0.00      0.28     0.00   100627     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K968
  0.00      0.28     0.00    61466     0.00     0.00  term_keep
  0.00      0.28     0.00    44359     0.00     0.00  WL_FID_JSON_AFTER
  0.00      0.28     0.00    41549     0.00     0.00  spare_free
  0.00      0.28     0.00    36813     0.00     0.00  WL_FID_ENCODE_EMIT
  0.00      0.28     0.00    35979     0.00     0.00  ctr_take
  0.00      0.28     0.00    32563     0.00     0.00  spin_71
  0.00      0.28     0.00    27172     0.00     0.00  spin_268
  0.00      0.28     0.00    25217     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K971
  0.00      0.28     0.00    21548     0.00     0.00  spin_11
  0.00      0.28     0.00    20470     0.00     0.00  heap_free
  0.00      0.28     0.00    16707     0.00     0.00  WL_FID_JSON_PUSH
  0.00      0.28     0.00    16458     0.00     0.00  WL_FID_JSON_OBJ_MEMBER
  0.00      0.28     0.00    16458     0.00     0.00  WL_FID_JSON_PUSH_K1056
  0.00      0.28     0.00    16458     0.00     0.00  WL_FID_TEXT_KS_PUT
  0.00      0.28     0.00    16458     0.00     0.00  WL_FID_TEXT_KS_PUT_GO
  0.00      0.28     0.00    16458     0.00     0.00  WL_FID_TEXT_KT_PUT
  0.00      0.28     0.00    16458     0.00     0.00  WL_FID_TEXT_KT_PUT_GO_K967
  0.00      0.28     0.00    16458     0.00     0.00  spin_347
  0.00      0.28     0.00    16343     0.00     0.00  WL_FID_ENCODE_VKIND
  0.00      0.28     0.00    16343     0.00     0.00  spin_325
  0.00      0.28     0.00    16342     0.00     0.00  WL_FID_ENCODE_CTX_FIELD
  0.00      0.28     0.00    16342     0.00     0.00  WL_FID_ENCODE_CTX_FIELD_K1169
  0.00      0.28     0.00    16342     0.00     0.00  WL_FID_ENCODE_EMIT_K1291
  0.00      0.28     0.00    16342     0.00     0.00  WL_FID_ENCODE_EMIT_K1292
  0.00      0.28     0.00    16342     0.00     0.00  spin_263
  0.00      0.28     0.00    16342     0.00     0.00  spin_329
  0.00      0.28     0.00    16337     0.00     0.00  spin_84
  0.00      0.28     0.00    12305     0.00     0.00  WL_FID_ENCODE_PUT_PRIM
  0.00      0.28     0.00    11999     0.00     0.00  WL_FID_ENCODE_EMIT_K1297
  0.00      0.28     0.00    11999     0.00     0.00  WL_FID_ENCODE_LINE_PRIM_K1188
  0.00      0.28     0.00    10776     0.00     0.00  spin_22
  0.00      0.28     0.00    10774     0.00     0.00  spin_88
  0.00      0.28     0.00     4402     0.00     0.00  spin_313
  0.00      0.28     0.00     4186     0.00     0.00  spin_259
  0.00      0.28     0.00     4186     0.00     0.00  spin_80
  0.00      0.28     0.00     4128     0.00     0.00  WL_FID_ENCODE_KEYS_KT
  0.00      0.28     0.00     4127     0.00     0.00  WL_FID_ENCODE_EMIT_K1279
  0.00      0.28     0.00     4127     0.00     0.00  spin_361
  0.00      0.28     0.00      449     0.00     0.00  heap_hand
  0.00      0.28     0.00      378     0.00     0.00  WL_FID_ENCODE_PUT_JOIN
  0.00      0.28     0.00      216     0.00     0.00  WL_FID_ENCODE_PUT_HEADER
