using: bun /tmp/bend/bend2/main.ts
segment                                   peek  keep  take  seal  free
FID_DECODE_EAT_K738                          0    34     0   432     0
FID_ENCODE_PRE                               0     0    12    72     0
FID_DECODE_DECIDE                            0     5     8    48     0
FID_DECODE_EAT_KV_PLAIN                      0     2     0    48     0
FID_JSON_W                                   0     0     8    38     0
FID_ENCODE_EMIT                              0    14     5    22    29
FID_CLI_TOK_WORD                             0     2     3    36     0
FID_JSON_AFTER                               0     0     3    35     0
spin_93                                      0     0     0    36     0
spin_91                                      0     0     0    36     0
FID_DECODE_ATTACH                            0     4     4    26     0
spin_368                                     0     0     0    28     0
FID_DECODE_EAT_K736                          0     1     0    27     0
FID_DECODE_ATTACH_K591                       0     0     0    28     0
FID_DECODE_ATTACH_K589                       0     0     0    28     0
FID_DECODE_EAT_K737                          0     0     0    27     0
FID_DECODE_ARRAY                             0     2     0    24     0
FID_DECODE_EAT_KV                            0     1     0    24     0
FID_DECODE_ARRAY_K867                        0     1     0    24     0
spin_451                                     0     1     1    22     0
spin_267                                     0     0     0    24     0
FID_DECODE_ITEM_KV                           0     0     0    24     0
FID_DECODE_EAT_K744                          0     0     0    24     0
FID_DECODE_EAT_K743                          0     0     0    24     0
FID_DECODE_EAT_K742                          0     0     0    24     0
FID_DECODE_EAT_K741                          0     0     0    24     0
FID_DECODE_EAT_K740                          0     0     0    24     0
FID_DECODE_ATTACH_K594                       0     0     0    24     0
FID_DECODE_DUPS_GO                           0    18     3     2     0
FID_DECODE_RUN                               0     5     2    15     0
spin_85                                      0     0     0    20     0
spin_7                                       0     0     0    20     0
spin_62                                      0     0     0    20     0
spin_60                                      0     0     0    20     0
spin_135                                     0     0     0    20     0
spin_133                                     0     0     0    20     0
FID_DECODE_HM_PUT_GO                         0     0     1    18     0
FID_CLI_E71_K1817                            0     2     0    16     0
spin_464                                     0     0     0    17     0
spin_64                                      0     0     0    16     0
spin_409                                     0     0     0    16     0
spin_372                                     0     0     0    16     0
spin_239                                     0     0     0    16     0
spin_237                                     0     0     0    16     0
FID_DECODE_XB_SET_GO                         0     0     1    15     0
spin_213                                     0     0     1    14     0
FID_STRING_CMP                               0     0     3    12     0
FID_JSON_STEP                                0     0     8     7     0
FID_CLI_FLAG_AFTER                           0    12     1     2     0
FID_CLI_TOKS_STEP                            0     1     0    13     0
spin_184                                     0     0     1    12     0
FID_JSON_PUSH                                0     0     3    10     0
FID_JSON_OBJ_MEMBER_AT                       0     5     0     8     0
FID_CLI_VALIDATE                             0    13     0     0     0
spin_478                                     0     0     0    12     0
spin_309                                     0     0     0    12     0
spin_229                                     0     0     0    12     0
FID_JSON_STR                                 0     0     3     9     0
FID_CLI_STATS_THIRD_K1330                    0     0     0    12     0
FID_CLI_STATS_THIRD_K1328                    0     0     0    12     0
FID_CLI_E86_K1915                            0     0     0    12     0
FID_CLI_E84_K1738                            0     0     0    12     0
FID_CLI_E73_K1815                            0     0     0    12     0
spin_423                                     0     0     1    10     0
spin_198                                     0     0     3     8     0
spin_110                                     0     0     2     9     0
spin_109                                     0     0     2     9     0
FID_JSON_KB_PUT_GO                           0     0     1    10     0
FID_DECODE_EXPAND                            0     1     4     6     0
spin_73                                      0     5     1     4     0
spin_538                                     0    10     0     0     0
spin_449                                     0     0     0    10     0
spin_341                                     0     0     0    10     0
spin_138                                     0     0     0    10     0
FID_DECODE_PATH_INS                          0     1     1     8     0
FID_DECODE_EAT                               0     6     4     0     0
spin_69                                      0     0     1     8     0
spin_483                                     0     0     3     6     0
spin_47                                      0     0     1     8     0
spin_263                                     0     0     1     8     0
FID_TEXT_KS_PUT_GO                           0     0     1     8     0
FID_DECODE_HOT_MERGE                         0     5     2     2     0
FID_DECODE_HM_PUT_GO_K161                    0     0     0     9     0
FID_DECODE_HM_PUT_GO_K160                    0     0     0     9     0
spin_435                                     0     0     0     8     0
spin_354                                     0     0     2     6     0
spin_253                                     0     8     0     0     0
spin_208                                     0     0     0     8     0
spin_127                                     0     0     0     8     0
FID_TEXT_KT_PUT_GO                           0     0     6     2     0
FID_READ_MSG_K1878                           0     0     0     8     0
FID_MAIN_C2205                               0     0     0     8     0
FID_MAIN_C2199                               0     0     0     8     0
FID_JSON_PUSH_K1194                          0     0     0     8     0
FID_JSON_KM_PUT_GO                           0     0     6     2     0
FID_F64_TOKEN_LITERAL                        0     1     1     6     0
FID_CLI_E78_K1889                            0     0     0     8     0
spin_81                                      0     0     2     5     0
spin_80                                      0     0     2     5     0
spin_360                                     0     0     1     6     0
spin_332                                     0     2     1     4     0
spin_316                                     0     2     1     4     0
spin_161                                     0     0     2     5     0
spin_160                                     0     0     2     5     0
FID_ENCODE_PUT_CELLS                         0     4     1     2     0
FID_DECODE_PRIM                              0     4     1     2     0
FID_DECODE_LK                                0     0     5     2     0
FID_DECODE_FIELD_ONE                         0     0     1     6     0
spin_523                                     0     6     0     0     0
spin_505                                     0     1     1     4     0
spin_469                                     0     0     0     6     0
spin_432                                     0     0     0     6     0
spin_417                                     0     0     0     6     0
spin_293                                     0     0     0     6     0
spin_265                                     0     0     2     4     0
spin_264                                     0     0     2     4     0
spin_146                                     0     1     1     4     0
FID_F64_EXPO_MANT                            0     0     2     4     0
FID_F64_BIG_OF_NAT                           0     0     0     6     0
FID_ENCODE_PUT_HEADER_K1097                  0     0     0     6     0
FID_ENCODE_EMIT_K1304                        0     0     0     6     0
FID_DECODE_X_NORM                            0     0     5     1     0
FID_DECODE_UNESC                             0     0     0     6     0
FID_DECODE_LIT_INS                           0     2     0     4     0
FID_DECODE_HOT_MERGE_K235                    0     6     0     0     0
spin_90                                      0     0     1     4     0
spin_74                                      0     0     1     4     0
spin_71                                      0     0     1     4     0
spin_520                                     0     0     1     4     0
spin_497                                     0     1     0     4     0
spin_437                                     0     0     1     4     0
spin_426                                     0     0     1     4     0
spin_313                                     0     0     1     4     0
spin_164                                     0     0     0     5     0
FID_JSON_NUM_DEFER                           0     0     0     5     0
FID_JSON_KB_PUT_GO_K298                      0     0     0     5     0
FID_JSON_KB_PUT_GO_K297                      0     0     0     5     0
FID_F64_SHORTEST_FAST_K1151                  0     5     0     0     0
FID_ENCODE_ROW_OK                            0     4     1     0     0
FID_DECODE_X_NORM_K1004                      0     0     0     5     0
FID_DECODE_XV_OPEN                           0     1     1     3     0
FID_DECODE_XM_SET_GO                         0     0     5     0     0
FID_DECODE_XB_SET_GO_K78                     0     0     0     5     0
FID_DECODE_XB_SET_GO_K77                     0     0     0     5     0
FID_DECODE_SCAN_END_WITH_K974                0     0     0     5     0
FID_DECODE_RUN_K871                          0     0     0     5     0
FID_DECODE_MERGE                             0     2     2     1     0
FID_DECODE_HM_MAT_K433                       0     1     0     4     0
FID_DECODE_DUPS_GO_K109                      0     4     0     1     0
FID_DECODE_DUPS_GO_K106                      0     4     0     1     0
FID_DECODE_DUPS_GO_K103                      0     4     0     1     0
FID_DECODE_ATTACH_K592                       0     1     0     4     0
FID_CLI_SCAN                                 0     0     5     0     0
FID_CLI_PARSE_K2148                          0     2     1     2     0
spin_94                                      0     0     0     4     0
spin_49                                      0     0     2     2     0
spin_486                                     1     0     0     4     0
spin_482                                     0     0     0     4     0
spin_476                                     0     0     2     2     0
spin_429                                     0     0     0     4     0
spin_406                                     0     0     0     4     0
spin_392                                     0     0     0     4     0
spin_380                                     0     0     0     4     0
spin_356                                     0     0     0     4     0
spin_349                                     0     0     2     2     0
spin_340                                     0     0     0     4     0
spin_317                                     0     0     2     2     0
spin_307                                     0     0     0     4     0
spin_299                                     0     0     0     4     0
spin_286                                     0     1     1     2     0
spin_279                                     0     1     1     2     0
spin_210                                     0     0     0     4     0
spin_169                                     0     1     1     2     0
spin_0                                       0     0     0     4     0
FID_TEXT_KS_PUT_GO_K664                      0     0     0     4     0
FID_TEXT_KS_PUT_GO_K663                      0     0     0     4     0
FID_READ_LOOP_C1798                          0     0     0     4     4
FID_NAT_SHOW_FIN                             0     0     0     4     0
FID_JSON_OBJ_MEMBER_AT_K1072                 0     0     0     4     0
FID_JSON_NUM_VALUE                           0     0     0     4     0
FID_F64_EXPO_MANT_K800                       0     0     0     4     0
FID_ENCODE_VKIND                             0     2     2     0     0
FID_ENCODE_PUT_PRIM                          0     0     4     0     0
FID_ENCODE_PRE_K1369                         0     0     0     4     0
FID_ENCODE_PRE_K1347                         0     0     0     4     0
FID_ENCODE_EMIT_K1305                        0     0     0     4     0
FID_ENCODE_CTX_FIELD                         0     4     0     0     0
FID_DECODE_XO_SET_K474                       0     0     0     4     0
FID_DECODE_XO_SET                            0     1     1     2     0
FID_DECODE_SCAN_LEAD                         0     1     1     2     0
FID_DECODE_SCAN_END_WITH                     0     2     0     2     0
FID_DECODE_POP                               0     0     4     0     0
