segment                                   peek  keep  take  seal  free
FID_DECODE_EAT_K503                          0    10     0   340     0
spin_95                                      0     0     4    46     0
FID_DECODE_ROOT_OBJECT                       0     0     0    50     0
spin_96                                      0     3     4    40     0
FID_ENCODE_EMIT                              0    15     5    22    29
FID_DECODE_EAT_KV_PLAIN                      0     1     0    40     0
FID_DECODE_ARRAY                             0     1     0    40     0
FID_JSON_W                                   0     2     6    30     0
FID_JSON_AFTER                               0     0     3    31     0
spin_243                                     0     0     0    28     0
FID_JSON_STEP                                0     0    11    15     0
spin_193                                     0     0     0    24     0
spin_135                                     0     1     0    23     0
FID_DECODE_EAT_KV                            0     1     0    20     0
spin_61                                      0     0     0    20     0
spin_41                                      0     0     0    20     0
spin_303                                     0     1     1    18     0
spin_244                                     0     0     0    20     0
FID_DECODE_EAT_K508                          0     0     0    20     0
FID_DECODE_EAT_K507                          0     0     0    20     0
FID_DECODE_EAT_K506                          0     0     0    20     0
FID_DECODE_EAT_K505                          0     0     0    20     0
FID_DECODE_EAT_K504                          0     0     0    20     0
FID_CLI_E71_K1364                            0     2     0    16     0
spin_82                                      0     0     0    16     0
spin_344                                     0     0     1    15     0
spin_321                                     0     0     0    16     0
spin_274                                     0     0     0    16     0
spin_108                                     0     0     1    14     0
FID_STRING_CMP                               0     0     3    12     0
FID_CLI_FLAG_AFTER                           0    12     1     2     0
spin_268                                     0     0     0    14     0
FID_JSON_PUSH                                0     2     3     9     0
FID_JSON_KM_PUT_GO                           0     0     6     7     0
FID_CLI_VALIDATE                             0    13     0     0     0
spin_348                                     0     0     0    12     0
spin_178                                     0     0     0    12     0
spin_138                                     0     0     0    12     0
FID_DECODE_RUN                               0     5     2     5     0
FID_CLI_E86_K1472                            0     0     0    12     0
FID_CLI_E84_K1293                            0     0     0    12     0
FID_CLI_E73_K1362                            0     0     0    12     0
spin_383                                     0     0     0    11     0
spin_104                                     0     0     3     8     0
FID_TEXT_KT_PUT_GO                           0     0     6     5     0
FID_DECODE_PATH_INS                          0     2     1     8     0
FID_DECODE_EXPAND                            0     1     4     6     0
spin_428                                     0     1     0     9     0
spin_343                                     0     0     0    10     0
FID_DECODE_EAT                               0     6     4     0     0
spin_424                                     0     9     0     0     0
spin_253                                     0     0     0     9     0
spin_24                                      0     0     1     8     0
spin_191                                     0     0     1     8     0
FID_DECODE_FIELD_ONE                         0     0     1     8     0
spin_292                                     0     0     2     6     0
spin_254                                     0     3     1     4     0
spin_231                                     0     0     0     8     0
spin_118                                     0     0     0     8     0
FID_READ_MSG_K1637                           0     0     0     8     0
FID_MAIN_C1806                               0     0     0     8     0
FID_MAIN_C1800                               0     0     0     8     0
FID_F64_TOKEN_LITERAL                        0     1     1     6     0
FID_CLI_E78_K1446                            0     0     0     8     0
spin_72                                      0     3     1     3     0
spin_298                                     0     0     1     6     0
spin_241                                     0     2     1     4     0
spin_209                                     0     0     7     0     0
FID_JSON_PUSH_K976                           0     0     0     7     0
FID_DECODE_PRIM                              0     4     1     2     0
FID_DECODE_LK                                0     0     5     2     0
FID_DECODE_LEN_TEXT                          0     2     1     4     0
spin_406                                     0     6     0     0     0
spin_384                                     0     1     1     4     0
spin_359                                     0     0     0     6     0
spin_355                                     0     0     0     6     0
spin_217                                     0     0     0     6     0
spin_20                                      0     1     1     4     0
FID_F64_EXPO_MANT                            0     0     2     4     0
FID_F64_BIG_OF_NAT                           0     0     0     6     0
