segment                                   peek  keep  take  seal  free
FID_DECODE_EAT_K461                          0    10     0   340     0
FID_ENCODE_EMIT                              0    15     5    34    27
spin_88                                      0     0     4    46     0
FID_DECODE_ROOT_OBJECT                       0     0     0    50     0
spin_89                                      0     3     4    40     0
FID_DECODE_EAT_KV_PLAIN                      0     1     0    40     0
FID_DECODE_ARRAY                             0     1     0    40     0
FID_JSON_W                                   0     2     6    30     0
spin_243                                     0     0     0    28     0
spin_193                                     0     0     0    24     0
spin_129                                     0     1     0    23     0
FID_DECODE_EAT_KV                            0     1     0    20     0
spin_61                                      0     0     0    20     0
spin_41                                      0     0     0    20     0
spin_318                                     0     1     1    18     0
spin_244                                     0     0     0    20     0
FID_DECODE_EAT_K466                          0     0     0    20     0
FID_DECODE_EAT_K465                          0     0     0    20     0
FID_DECODE_EAT_K464                          0     0     0    20     0
FID_DECODE_EAT_K463                          0     0     0    20     0
FID_DECODE_EAT_K462                          0     0     0    20     0
FID_CLI_E71_K1245                            0     2     0    16     0
spin_210                                     0     0     3    14     0
spin_75                                      0     0     0    16     0
spin_364                                     0     0     1    15     0
spin_342                                     0     0     0    16     0
spin_279                                     0     0     0    16     0
spin_101                                     0     0     1    14     0
FID_STRING_CMP                               0     0     3    12     0
FID_CLI_FLAG_AFTER                           0    12     1     2     0
spin_272                                     0     0     0    14     0
spin_209                                     0     0     0    14     0
spin_211                                     0     0     0    13     0
FID_CLI_VALIDATE                             0    13     0     0     0
spin_368                                     0     0     0    12     0
spin_177                                     0     0     0    12     0
spin_133                                     0     0     0    12     0
FID_DECODE_RUN                               0     5     2     5     0
FID_CLI_E86_K1353                            0     0     0    12     0
FID_CLI_E84_K1175                            0     0     0    12     0
FID_CLI_E73_K1243                            0     0     0    12     0
spin_97                                      0     0     3     8     0
spin_407                                     0     0     0    11     0
FID_DECODE_PATH_INS                          0     2     1     8     0
FID_DECODE_EXPAND                            0     1     4     6     0
spin_452                                     0     1     0     9     0
spin_363                                     0     0     0    10     0
spin_284                                     0     0     3     7     0
spin_448                                     0     9     0     0     0
spin_24                                      0     0     1     8     0
spin_191                                     0     0     1     8     0
FID_DECODE_MERGE                             0     6     2     1     0
FID_DECODE_FIELD_ONE                         0     0     1     8     0
spin_307                                     0     0     2     6     0
spin_256                                     0     0     0     8     0
spin_231                                     0     0     0     8     0
spin_138                                     0     3     1     4     0
spin_109                                     0     0     0     8     0
FID_READ_MSG_K1518                           0     0     0     8     0
FID_MAIN_C1687                               0     0     0     8     0
FID_MAIN_C1681                               0     0     0     8     0
FID_F64_TOKEN_LITERAL                        0     1     1     6     0
FID_CLI_E78_K1327                            0     0     0     8     0
spin_313                                     0     0     1     6     0
FID_DECODE_PRIM                              0     4     1     2     0
FID_DECODE_POP                               0     2     4     1     0
FID_DECODE_LEN_TEXT                          0     2     1     4     0
spin_430                                     0     6     0     0     0
spin_408                                     0     1     1     4     0
spin_381                                     0     0     0     6     0
spin_375                                     0     0     0     6     0
spin_217                                     0     0     0     6     0
spin_20                                      0     1     1     4     0
FID_F64_EXPO_MANT                            0     0     2     4     0
FID_F64_BIG_OF_NAT                           0     0     0     6     0
FID_ENCODE_PUT_HEADER_K901                   0     0     0     6     0
FID_DECODE_UNESC                             0     0     0     6     0
FID_DECODE_LIT_INS                           0     2     0     4     0
FID_DECODE_EAT                               0     2     4     0     0
spin_98                                      0     0     1     4     0
spin_84                                      0     0     0     5     0
spin_427                                     0     0     1     4     0
spin_399                                     0     1     0     4     0
spin_255                                     0     0     3     2     0
spin_232                                     0     0     1     4     0
spin_116                                     0     0     1     4     0
FID_ENCODE_PUT_CELLS                         0     2     1     2     0
FID_DECODE_SCAN_END_K843                     0     0     0     5     0
FID_DECODE_RUN_K590                          0     0     0     5     0
FID_DECODE_DECODE_K1194                      0     3     2     0     0
FID_CLI_PARSE_K1630                          0     2     1     2     0
spin_64                                      0     1     1     2     0
spin_47                                      0     1     1     2     0
spin_438                                     0     0     0     4     0
spin_388                                     1     0     0     4     0
spin_383                                     0     4     0     0     0
spin_373                                     0     0     0     4     0
spin_372                                     0     0     0     4     0
spin_366                                     0     0     2     2     0
spin_357                                     0     0     0     4     0
spin_348                                     0     0     0     4     0
spin_309                                     0     0     0     4     0
spin_297                                     0     0     2     2     0
spin_264                                     0     4     0     0     0
spin_26                                      0     0     0     4     0
spin_254                                     0     0     3     1     0
spin_251                                     0     0     0     4     0
spin_223                                     0     0     0     4     0
spin_201                                     0     0     0     4     0
spin_196                                     0     0     0     4     0
spin_181                                     0     1     1     2     0
spin_137                                     0     0     0     4     0
spin_0                                       0     0     2     2     0
FID_READ_LOOP_C1431                          0     0     0     4     4
FID_NAT_SHOW_FIN                             0     0     0     4     0
FID_JSON_NUM_VALUE                           0     0     0     4     0
FID_F64_EXPO_MANT_K506                       0     0     0     4     0
FID_F64_DIV_P10                              0     1     1     2     0
FID_DECODE_HEADER                            0     2     2     0     0
FID_DECODE_FIELD_INS                         0     4     0     0     0
FID_CLI_SCAN                                 0     0     4     0     0
FID_CLI_OPT_AFTER                            0     1     1     2     0
FID_BIGNAT_SHR_BITS                          0     0     2     2     0
spin_96                                      0     0     1     2     0
spin_9                                       0     0     1     2     0
spin_8                                       0     0     1     2     0
